Centro Poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
LA DESPENSA,ANTONIO NARIÑO,37.2020894354056,True,EL GUAYABAL,48.8254757827441,CANANGUCHAL,109.46475762594,ANTONIO NARIÑO,37.2020894354056,ALFONSO BONILLA ARAGON,223.473660904507,Nacional
SOMBRERILLOS,ANTONIO NARIÑO,37.7618126278165,True,EL GUAYABAL,45.6208307003444,CANANGUCHAL,100.730094330759,ANTONIO NARIÑO,37.7618126278165,ALFONSO BONILLA ARAGON,221.457345281457,Nacional
EL BADO,ANTONIO NARIÑO,42.7655336269483,False,EL GUAYABAL,48.5115734308716,JUAN CASIANO,110.033750020884,ANTONIO NARIÑO,42.7655336269483,ALFONSO BONILLA ARAGON,220.930215588937,Sin cobertura
TABLONCITO,ANTONIO NARIÑO,37.6644312711634,True,EL GUAYABAL,45.7802733647705,CANANGUCHAL,102.447381960181,ANTONIO NARIÑO,37.6644312711634,ALFONSO BONILLA ARAGON,221.538937939196,Nacional
ESPERANZAS DE MAYO,ANTONIO NARIÑO,33.2642750960205,True,EL GUAYABAL,57.0136150595073,CANANGUCHAL,112.395861829488,ANTONIO NARIÑO,33.2642750960205,ALFONSO BONILLA ARAGON,230.530960020177,Nacional
DAPA LA VEGA,LAS AGUILAS -CA,9.77247287098281,True,LAS AGUILAS -CA,9.77247287098281,FARFAN HERIBERTO GIL MAR,70.8203453798625,BUENAVENTURA-GERARDO TOBAR LOPEZ,55.023914396394,ALFONSO BONILLA ARAGON,20.8217031965923,Internacional
DESCANSE,CANANGUCHAL,60.6821217560926,False,EL GUAYABAL,79.4448495326792,CANANGUCHAL,60.6821217560926,ANTONIO NARIÑO,84.7401985256763,BENITO SALAS,210.722467291888,Sin cobertura
DONMATÍAS,CAROLINA DEL PRINCIPE,28.9938490228208,True,CAROLINA DEL PRINCIPE,28.9938490228208,ALI PIEDRAHITA,84.5009120802774,OLAYA HERRERA,36.5982150486842,JOSE M. CORDOVA,35.7360289213299,Internacional
MINUTO DE DIOS,ARBOLETES,4.86000919326952,True,ARBOLETES,4.86000919326952,ALCIDES FERNANDEZ,103.754214240417,LOS GARZONES,64.7948339676232,RAFAEL NUÑEZ,199.812021155614,Aeródromo
BRISAS,BUENAVENTURA-GERARDO TOBAR LOPEZ,15.3014996268651,True,EDGAR CALDAS POTES-CA,57.0008382672562,FARFAN HERIBERTO GIL MAR,86.7158834953888,BUENAVENTURA-GERARDO TOBAR LOPEZ,15.3014996268651,ALFONSO BONILLA ARAGON,82.0211193058014,Nacional
DON ALONSO,LAS BRUJAS,13.4171750106345,True,COVEÑAS,44.4774815481256,LAS BRUJAS,13.4171750106345,LOS GARZONES,70.0838353128131,RAFAEL NUÑEZ,137.332038089513,Regional
MIRAFLOR,CANANGUCHAL,19.6063633366785,True,ORITO,63.3772031265803,CANANGUCHAL,19.6063633366785,TRES DE MAYO,58.7516914890208,BENITO SALAS,248.446786223288,Regional
YAPURÁ,CANANGUCHAL,19.8846485873391,True,ORITO,64.5741048546732,CANANGUCHAL,19.8846485873391,TRES DE MAYO,61.3380773040295,BENITO SALAS,246.522815200879,Regional
LAS PALMERAS 1,CANANGUCHAL,25.2547105755662,True,ORITO,68.723586058776,CANANGUCHAL,25.2547105755662,TRES DE MAYO,61.4981564939899,BENITO SALAS,244.105973237897,Regional
LAS PALMERAS 2,CANANGUCHAL,25.5156466475905,True,ORITO,68.7852171710802,CANANGUCHAL,25.5156466475905,TRES DE MAYO,61.1729960802473,BENITO SALAS,244.267396949654,Regional
